"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"6628",23.854227,25.884212,25.20266,25.532873,"2022-14-404"
"6629",34.050816,34.845272,34.3824197142857,34.272583,"2022-14-503"
"6630",25.383568,27.230211,26.6185852857143,26.850695,"2022-14-403"
"6631",31.371313,33.54959,32.9397068571429,33.3377,"2022-14-410"
"6632",23.92963,26.180126,25.3802875714286,25.660572,"2022-14-212"
"6633",28.298735,31.698946,30.735879,31.44772,"2022-14-703"
"6634",24.14702,27.131369,25.9778198571429,26.475199,"2022-14-704"
"6635",26.411297,28.28164,27.5359637142857,27.62066,"2022-14-105"
"6636",25.383568,27.230211,26.6185852857143,26.850695,"2022-14-113"
"6637",30.087507,31.937027,31.2787487142857,31.360174,"2022-14-508"
"6638",24.323133,27.383392,26.5321394285714,27.182476,"2022-14-305"
"6639",31.222149,32.154762,31.8027862857143,31.865955,"2022-14-116"
"6640",33.867374,35.379074,34.8658751428571,35.01969,"2022-14-213"
"6641",21.974611,24.241861,23.5360034285714,23.820023,"2022-14-111"
"6642",25.321781,27.522438,26.7210722857143,26.995935,"2022-14-211"
"6643",34.920467,35.595192,35.2630461428571,35.35018,"2023-14-507"
"6644",26.751762,28.506254,27.880973,27.915672,"2023-14-112"
"6645",26.524992,27.186035,26.952088,27.026531,"2023-14-201"
"6646",24.11716,25.178722,24.8036201428571,24.811045,"2023-14-110"
"6647",20.697554,21.564629,21.2178902857143,21.34059,"2023-14-306"
"6648",23.46026,24.889656,24.3477762857143,24.22928,"2023-14-106"
"6649",28.327127,30.338116,29.5649312857143,29.718931,"2023-14-205"
"6650",35.023937,35.56621,35.3720222857143,35.448586,"2023-14-504"
"6651",24.49481,25.033829,24.8334411428571,24.905464,"2023-14-402"
"6652",27.197113,28.100084,27.8019864285714,27.886038,"2023-14-407"
"6653",28.019297,30.014875,29.066099,29.292048,"2023-14-603"
"6654",35.739307,36.541527,36.1956708571429,36.23389,"2023-14-505"
"6655",23.729757,24.677338,24.2869434285714,24.292717,"2023-14-301"
"6656",35.052345,35.614048,35.378827,35.419376,"2023-14-506"
"6657",31.577818,34.06474,33.0655185714286,33.46364,"2023-14-610"
"6658",23.02026,26.05439,24.874402,25.185532,"2023-14-608"
"6659",25.18239,25.938616,25.658827,25.724672,"2023-14-118"
"6660",23.462923,24.458042,24.0629037142857,24.046675,"2023-14-103"
"6661",21.082998,22.35079,21.8326882857143,21.695429,"2023-14-117"
"6662",21.101885,22.16715,21.723771,21.657433,"2023-14-308"
"6663",26.263002,27.184227,26.8725458571429,26.923712,"2023-14-102"
"6664",33.280758,35.474377,34.5359844285714,34.72034,"2023-14-602"
"6665",26.789165,27.537952,27.2963077142857,27.41303,"2023-14-408"
"6666",32.75617,34.847515,34.0926991428571,34.31389,"2023-14-611"
"6667",23.339695,23.965563,23.7373214285714,23.84856,"2023-14-108"
"6668",NA,NA,NA,NA,"2023-14-607"
"6669",27.24465,28.033146,27.7488191428571,27.855518,"2023-14-203"
"6670",34.328915,34.731174,34.5279971428571,34.523464,"2023-14-215"
"6671",30.397503,30.885721,30.6228357142857,30.602375,"2023-14-706"
"6672",22.507015,22.893122,22.7045135714286,22.702972,"2023-14-401"
"6673",33.204884,34.277924,33.9558718571429,34.11144,"2023-14-511"
"6674",24.599672,25.517962,25.1230845714286,25.188248,"2023-14-304"
"6675",32.625862,33.34682,33.0102612857143,33.036304,"2023-14-510"
"6676",23.685892,24.425705,24.1421697142857,24.217928,"2023-14-303"
"6677",23.757034,25.096548,24.5776215714286,24.470266,"2023-14-120"
"6678",34.481754,35.09942,34.8596908571429,34.93871,"2023-14-501"
"6679",23.551529,24.42278,24.050407,24.188484,"2023-14-701"
"6680",34.44364,34.740036,34.5820044285714,34.56703,"2023-14-214"
"6681",29.357723,29.789642,29.6043604285714,29.639229,"2023-14-705"
"6682",25.18239,25.938616,25.658827,25.724672,"2023-14-115"
"6683",30.224777,31.841646,31.1091437142857,31.08727,"2023-14-604"
"6684",27.677519,29.214458,28.6712004285714,28.719755,"2023-14-107"
"6685",24.64555,25.177385,24.9886878571429,25.10532,"2023-14-114"
"6686",31.976795,33.4253,32.9877148571429,33.144974,"2023-14-509"
"6687",26.804346,27.673319,27.3205242857143,27.401827,"2023-14-206"
"6688",34.69797,35.403137,35.1097381428571,35.2844,"2023-14-502"
