"","tmin_min","tmin_max","tmin_mean","tmin_median","week_canton"
"3910",22.751808,24.40818,23.4986877142857,23.61283,"2025-8-104"
"3911",20.00135,22.547083,21.214947,21.09713,"2025-8-119"
"3912",28.205517,29.962967,28.8888821428571,28.955318,"2025-8-606"
"3913",24.605913,26.232697,25.3226841428571,25.550154,"2025-8-216"
"3914",25.923058,27.41956,26.551441,26.459549,"2025-8-210"
"3915",16.350643,19.323307,17.9338231428571,17.774466,"2025-8-406"
"3916",17.638697,20.68334,19.2491261428571,19.281042,"2025-8-101"
"3917",21.706991,24.154444,22.9722041428571,22.831402,"2025-8-204"
"3918",17.229675,20.353884,18.8915697142857,18.786575,"2025-8-409"
"3919",16.395979,19.44131,18.0385837142857,17.953363,"2025-8-405"
"3920",20.111359,22.55179,21.5065628571429,21.41998,"2025-8-202"
"3921",17.88167,20.868553,19.4684071428571,19.586563,"2025-8-109"
"3922",15.985107,18.913885,17.6159125714286,17.702873,"2025-8-404"
"3923",24.568584,26.301258,25.5104114285714,25.406757,"2025-8-503"
"3924",17.229675,20.353884,18.8915697142857,18.786575,"2025-8-403"
"3925",24.748634,26.797382,25.8925284285714,25.874542,"2025-8-410"
"3926",16.329926,19.06456,17.9417211428571,17.95801,"2025-8-212"
"3927",23.280416,25.405798,24.2203435714286,24.068771,"2025-8-703"
"3928",17.673769,21.21343,19.4262492857143,18.79472,"2025-8-704"
"3929",20.20186,22.91654,21.5077355714286,21.63255,"2025-8-105"
"3930",17.229675,20.353884,18.8915697142857,18.786575,"2025-8-113"
"3931",22.715353,23.933996,23.1728237142857,23.01895,"2025-8-508"
"3932",18.2678,20.897446,19.3539438571429,18.769274,"2025-8-305"
"3933",25.252422,26.699665,25.9598411428571,25.93626,"2025-8-116"
"3934",28.25748,29.157242,28.7046168571429,28.657768,"2025-8-213"
"3935",14.700953,17.722645,16.2466028571429,16.112904,"2025-8-111"
"3936",17.731703,20.345081,19.2773157142857,19.279036,"2025-8-211"
"3937",24.04641,27.703419,26.0126818571429,26.709766,"2020-9-507"
"3938",19.429575,22.026367,20.7671921428571,21.31335,"2020-9-112"
"3939",16.80172,20.213755,18.8558397142857,19.693178,"2020-9-201"
"3940",14.8077965,17.979486,16.7178185,17.50936,"2020-9-110"
"3941",11.26335,16.018572,14.0245961428571,14.74222,"2020-9-306"
"3942",15.046656,18.023258,16.7539680714286,17.283571,"2020-9-106"
"3943",19.163698,22.460709,20.8689488571429,21.311214,"2020-9-205"
"3944",23.686085,29.993378,26.6444815714286,26.59859,"2020-9-504"
"3945",14.865967,18.431368,17.0623942857143,18.02455,"2020-9-402"
"3946",17.43647,20.725985,19.4199095714286,20.299158,"2020-9-407"
"3947",18.399206,22.94012,20.916124,20.973568,"2020-9-603"
"3948",27.538082,30.29087,28.9686718571429,29.30191,"2020-9-505"
"3949",13.768869,17.90555,16.259711,16.897585,"2020-9-301"
"3950",23.750217,29.348507,26.5363528571429,26.85347,"2020-9-506"
"3951",26.64989,29.276642,28.0635364285714,28.314358,"2020-9-610"
"3952",16.764706,20.327385,18.7087188571429,18.694073,"2020-9-608"
"3953",15.533182,19.09616,17.7741228571429,18.713808,"2020-9-118"
"3954",13.722971,17.21551,15.8793208571429,16.60462,"2020-9-103"
"3955",12.982336,17.233158,15.379858,15.210831,"2020-9-117"
"3956",11.028231,15.18236,13.5208112857143,13.890429,"2020-9-308"
"3957",16.785858,20.006693,18.7752652857143,19.64541,"2020-9-102"
"3958",25.304642,28.278095,26.697003,26.748226,"2020-9-602"
"3959",16.93464,20.371223,19.0127468571429,19.870207,"2020-9-408"
"3960",28.862793,30.710846,29.6788688571429,29.50539,"2020-9-611"
"3961",13.663708,17.526045,16.0832251428571,17.07693,"2020-9-108"
"3962",NA,NA,NA,NA,"2020-9-607"
"3963",17.587067,20.901318,19.5551952857143,20.323069,"2020-9-203"
"3964",24.911743,30.034271,27.3908391428571,27.354584,"2020-9-215"
"3965",22.033892,25.754494,24.1329334285714,24.911486,"2020-9-706"
"3966",13.064285,16.753456,15.3530008571429,16.292215,"2020-9-401"
"3967",23.224163,26.751373,24.9841472857143,25.575825,"2020-9-511"
"3968",14.625427,20.05061,17.7573451428571,18.285234,"2020-9-304"
"3969",25.987507,28.92083,27.4036691428571,27.531368,"2020-9-510"
"3970",13.968925,17.80757,16.344828,17.231525,"2020-9-303"
"3971",15.780767,18.973974,17.611265,17.836725,"2020-9-120"
"3972",23.788559,29.367878,26.2338211428571,25.824825,"2020-9-501"
"3973",15.353172,20.863033,18.3485404285714,18.903646,"2020-9-701"
