Tipo de Campaña,Conteo,Distrito,Canton,Dia,Mes,Año,Link
Fumigación,566,,Turrialba,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Visita,122,,Turrialba,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Fumigación,,Puente de Piedra,Grecia,10,10,2024,https://x.com/msaludcr/status/1844128562154176938?s=20
Fumigación,,Puente de Piedra,Grecia,11,10,2024,https://x.com/msaludcr/status/1844128562154176938?s=20
Intervención,,Pozos,Santa Ana,10,9,2024,https://x.com/msaludcr/status/1833600582889967876?s=20
Intervención,,,Turrialba,2,9,2024,https://x.com/msaludcr/status/1830687084702490788?s=20
Capacitación,,Chacarita,Puntarenas,,8,2024,https://x.com/msaludcr/status/1826036343497179373?s=20
Intervención,,Tacares,Grecia,12,6,2024,https://x.com/msaludcr/status/1801308839901331686?s=20
Intervención,,La Fortuna,San Carlos,5,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,6,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,7,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,8,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,9,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,10,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,11,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,12,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,13,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,14,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,15,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,16,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,17,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,18,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,19,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,20,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,21,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,La Fortuna,San Carlos,22,3,2024,https://x.com/msaludcr/status/1769785589463703735?s=20
Intervención,,Concepción,Alajuelita,12,3,2024,https://x.com/msaludcr/status/1767591961504940209?s=20
Intervención,,Santa Rita,Río Cuarto,6,3,2024,https://x.com/msaludcr/status/1765391829225123853?s=20
Intervención,,Alajuela,Alajuela,1,3,2024,https://x.com/msaludcr/status/1763593336588234865?s=20
Intervención,,,Alajuela,29,2,2024,https://x.com/msaludcr/status/1763310442280108301?s=20
Intervención,,Alajuela,Alajuela,28,2,2024,https://x.com/msaludcr/status/1762851685448208739?s=20
Intervención,,Uruca,San José,19,2,2024,https://x.com/msaludcr/status/1759673977411158279?s=20
Fumigación,,Aguas Zarcas,San Carlos,19,6,2023,https://x.com/msaludcr/status/1670884897743859730?s=20
Fumigación,,Puerto Viejo,Sarapiquí,2,5,2023,https://www.ministeriodesalud.go.cr/index.php/prensa/60-noticias-2023/1578-salud-realizara-intervenciones-en-sarapaqui-por-circulacion-de-los-cuatro-serotipos-de-dengue
Termonebulización,,Puerto Viejo,Sarapiquí,2,5,2023,https://www.ministeriodesalud.go.cr/index.php/prensa/60-noticias-2023/1578-salud-realizara-intervenciones-en-sarapaqui-por-circulacion-de-los-cuatro-serotipos-de-dengue
