,rr,week-canton,clasi_rr,clasi_rr_no_0
11500,0.0,2025-9-301,Bajo,Bajo
11501,0.0,2025-10-301,Bajo,Bajo
11502,0.5776514030045304,2025-11-301,Alto,Bajo
11503,0.0,2025-12-301,Bajo,Bajo
11504,1.0771025961600271,2025-13-301,Alto,Medio
11505,1.2710550426824363,2025-14-301,Alto,Medio
11506,0.0,2025-15-301,Bajo,Bajo
11507,0.5996240484348295,2025-16-301,Alto,Bajo
11508,0.7567124663506871,2025-17-301,Alto,Medio
11509,0.0,2025-18-301,Bajo,Bajo
11510,0.0,2025-19-301,Bajo,Bajo
11511,0.6232837200935174,2025-20-301,Alto,Medio
11512,0.0,2025-21-301,Bajo,Bajo
11513,0.0,2025-22-301,Bajo,Bajo
11514,0.7754393776024038,2025-23-301,Alto,Medio
11515,0.0,2025-24-301,Bajo,Bajo
11516,0.0,2025-25-301,Bajo,Bajo
11517,0.0,2025-26-301,Bajo,Bajo
11518,0.0,2025-27-301,Bajo,Bajo
11519,0.0,2025-28-301,Bajo,Bajo
11520,0.6057934408787885,2025-29-301,Alto,Medio
11521,0.0,2025-30-301,Bajo,Bajo
11522,0.219364749663787,2025-31-301,Medio,Bajo
11523,0.0,2025-32-301,Bajo,Bajo
11524,0.0,2025-33-301,Bajo,Bajo
11525,0.0,2025-34-301,Bajo,Bajo
11526,0.1860546972351753,2025-35-301,Medio,Bajo
11527,0.0,2025-36-301,Bajo,Bajo
11528,0.0,2025-37-301,Bajo,Bajo
11529,0.0,2025-38-301,Bajo,Bajo
11530,0.0,2025-39-301,Bajo,Bajo
11531,0.0,2025-40-301,Bajo,Bajo
11532,0.0,2025-41-301,Bajo,Bajo
11533,0.0,2025-42-301,Bajo,Bajo
11534,0.0,2025-43-301,Bajo,Bajo
11535,0.0,2025-44-301,Bajo,Bajo
11536,0.3298860653455405,2025-45-301,Medio,Bajo
11537,0.0,2025-46-301,Bajo,Bajo
11538,0.0,2025-47-301,Bajo,Bajo
