"","week_canton","pob"
"551","2020-7-505",46447.5802459016
"552","2020-7-506",31712.0695901639
"553","2020-7-507",19912.2542459016
"554","2020-7-508",24591.6332459016
"555","2020-7-509",11483.7240737705
"556","2020-7-510",26296.0112622951
"557","2020-7-511",7102.01726229508
"558","2020-7-601",138197.892639344
"559","2020-7-602",33631.1103442623
"560","2020-7-603",52837.6824672131
"561","2020-7-604",14608.933
"562","2020-7-605",29567.7300573771
"563","2020-7-606",33270.1151557377
"564","2020-7-607",32049.7616311475
"565","2020-7-608",36382.6745983607
"566","2020-7-609",21013.5764344262
"567","2020-7-610",52098.8396967213
"568","2020-7-611",25779.3944590164
"569","2020-7-701",93327.3658114754
"570","2020-7-702",149742.501901639
"571","2020-7-703",56914.1623196721
"572","2020-7-704",43232.4649672131
"573","2020-7-705",44296.3225819672
"574","2020-7-706",55559.0660983607
"575","2020-8-101",348315.296546448
"576","2020-8-102",69551.0824754098
"577","2020-8-103",239528.874797814
"578","2020-8-104",38358.5290054645
"579","2020-8-105",17865.8080874317
"580","2020-8-106",61798.6627322404
"581","2020-8-107",28361.508295082
"582","2020-8-108",137475.621202186
"583","2020-8-109",59649.4166174863
"584","2020-8-110",93236.8824808743
"585","2020-8-111",70028.549568306
"586","2020-8-112",21741.9746448087
"587","2020-8-113",83891.3614153005
"588","2020-8-114",61197.4469125683
"589","2020-8-115",61384.4245027322
"590","2020-8-116",7153.47379781421
"591","2020-8-117",7766.98490710383
"592","2020-8-118",78241.5597868852
"593","2020-8-119",135421.196355191
"594","2020-8-120",13157.9460928962
"595","2020-8-201",314972.84147541
"596","2020-8-202",89571.8309180328
"597","2020-8-203",78219.5817595628
"598","2020-8-204",7347.03551912568
"599","2020-8-205",29656.0012349727
"600","2020-8-206",48945.9990546448
"601","2020-8-207",41167.2050928962
"602","2020-8-208",34073.6961420765
"603","2020-8-209",24030.1579836066
"604","2020-8-210",201756.058852459
"605","2020-8-211",14463.4475464481
"606","2020-8-212",22244.3348306011
"607","2020-8-213",54749.465420765
"608","2020-8-214",34414.6271803279
"609","2020-8-215",19267.0973551913
"610","2020-8-216",16744.0917650273
"611","2020-8-301",161112.599163934
"612","2020-8-302",60642.3751530055
"613","2020-8-303",111561.786377049
"614","2020-8-304",15989.9082568306
"615","2020-8-305",70160.0161584699
"616","2020-8-306",15078.7916284153
"617","2020-8-307",48252.0173387978
"618","2020-8-308",44612.7769453552
"619","2020-8-401",141879.484765027
"620","2020-8-402",46689.0332076503
"621","2020-8-403",48784.6573278689
"622","2020-8-404",43231.4555464481
"623","2020-8-405",54586.9841256831
"624","2020-8-406",22830.2895355191
"625","2020-8-407",25892.8466557377
"626","2020-8-408",21307.2059562842
"627","2020-8-409",30172.4437322404
"628","2020-8-410",87236.1203770492
"629","2020-8-501",76752.6492240437
"630","2020-8-502",57361.7416010929
"631","2020-8-503",68856.7032896175
"632","2020-8-504",24368.5313715847
"633","2020-8-505",46459.929010929
"634","2020-8-506",31716.2877595628
"635","2020-8-507",19913.067010929
"636","2020-8-508",24592.887010929
"637","2020-8-509",11483.982136612
"638","2020-8-510",26303.1069672131
"639","2020-8-511",7102.01263387978
"640","2020-8-601",138219.893295082
"641","2020-8-602",33637.8314153005
"642","2020-8-603",52846.3860874317
"643","2020-8-604",14610.2676666667
"644","2020-8-605",29567.7508469945
"645","2020-8-606",33276.7559180328
"646","2020-8-607",32050.0789836066
"647","2020-8-608",36380.2984043716
"648","2020-8-609",21019.0078415301
"649","2020-8-610",52104.0634754098
"650","2020-8-611",25790.5881092896
"651","2020-8-701",93323.9161693989
"652","2020-8-702",149767.972262295
"653","2020-8-703",56913.5134808743
"654","2020-8-704",43243.365420765
"655","2020-8-705",44301.3811147541
"656","2020-8-706",55571.8274043716
"657","2020-9-101",348333.615297814
"658","2020-9-102",69557.2092540984
"659","2020-9-103",239551.421644809
"660","2020-9-104",38361.9978879781
"661","2020-9-105",17866.4897076503
"662","2020-9-106",61803.305989071
"663","2020-9-107",28363.2719508197
"664","2020-9-108",137486.404855191
"665","2020-9-109",59658.87834153
