"","group","busquedas","week_canton"
"703","employment",41.1,"2020-3-105"
"704","employment",41.1,"2020-3-106"
"705","employment",41.1,"2020-3-107"
"706","employment",41.1,"2020-3-108"
"707","employment",41.1,"2020-3-109"
"708","employment",41.1,"2020-3-110"
"709","employment",41.1,"2020-3-111"
"710","employment",41.1,"2020-3-112"
"711","employment",41.1,"2020-3-113"
"712","employment",41.1,"2020-3-114"
"713","employment",41.1,"2020-3-115"
"714","employment",41.1,"2020-3-116"
"715","employment",41.1,"2020-3-117"
"716","employment",41.1,"2020-3-118"
"717","employment",41.1,"2020-3-119"
"718","employment",41.1,"2020-3-120"
"719","employment",58.8,"2020-3-201"
"720","employment",58.8,"2020-3-202"
"721","employment",58.8,"2020-3-203"
"722","employment",58.8,"2020-3-204"
"723","employment",58.8,"2020-3-205"
"724","employment",58.8,"2020-3-206"
"725","employment",58.8,"2020-3-207"
"726","employment",58.8,"2020-3-208"
"727","employment",58.8,"2020-3-209"
"728","employment",58.8,"2020-3-210"
"729","employment",58.8,"2020-3-211"
