"","week_canton","ndvi"
"361","2020-5-502",0.636057044748279
"362","2020-5-503",0.610425438237835
"363","2020-5-508",0.624972554090492
"364","2020-5-402",0.752438751715979
"365","2020-5-407",0.422505338393487
"366","2020-5-408",0.388901898142375
"367","2020-5-401",0.758717578753369
"368","2020-5-406",0.737165432023532
"369","2020-5-409",0.368915452087584
"370","2020-5-405",0.789967322465239
"371","2020-5-404",0.811597434953635
"372","2020-5-403",0.663443741062541
"373","2020-5-410",0.824294955180881
"374","2020-5-706",0.863294070946733
"375","2020-5-701",0.614621390450561
"376","2020-5-705",0.471516325818641
"377","2020-5-702",0.763562974214779
"378","2020-5-703",0.770064411444922
"379","2020-5-704",0.927959166132328
"380","2020-5-603",0.81213355673487
"381","2020-5-610",0.894927156134476
"382","2020-5-608",0.792230281077022
"383","2020-5-602",0.789041679526169
"384","2020-5-611",0.879153683313182
"385","2020-5-607",-0.3
"386","2020-5-604",0.715680695904616
"387","2020-5-605",0.855174503838179
"388","2020-5-609",0.868832683471562
"389","2020-5-601",0.832205746455368
"390","2020-5-606",0.831463188025242
"391","2020-5-112",0.755306935976201
"392","2020-5-110",0.609407402360952
"393","2020-5-106",0.75802586814994
"394","2020-5-118",0.414238532732784
"395","2020-5-103",0.783837025704762
"396","2020-5-117",0.895086074984597
"397","2020-5-102",0.407841798558276
"398","2020-5-108",0.584631784632699
"399","2020-5-120",0.815827795717843
"400","2020-5-115",0.407076315567257
"401","2020-5-107",0.84242316337308
"402","2020-5-114",0.662672980717406
"403","2020-5-119",0.741399953056981
"404","2020-5-104",0.681175176357597
"405","2020-5-101",0.471456891371026
"406","2020-5-109",0.535482509444255
"407","2020-5-105",0.840563689671118
"408","2020-5-113",0.183585404530146
"409","2020-5-116",0.909277861143724
"410","2020-5-111",0.630274701803771
"411","2020-6-201",0.881743010534885
"412","2020-6-205",0.717964963502743
"413","2020-6-203",0.645982283137022
"414","2020-6-215",0.829289943112231
"415","2020-6-214",0.753890038902234
"416","2020-6-206",0.636467508593248
"417","2020-6-209",0.403302858082926
"418","2020-6-207",0.594670389254485
"419","2020-6-208",0.706716114460638
"420","2020-6-216",0.856516138211606
"421","2020-6-210",0.830295543937352
"422","2020-6-204",0.753283671331442
"423","2020-6-202",0.560657225896806
"424","2020-6-212",0.888146021328067
"425","2020-6-213",0.77225574909006
"426","2020-6-211",0.803268840613496
"427","2020-6-306",0.762964895198196
"428","2020-6-301",0.786539716502827
"429","2020-6-308",0.88157032303657
"430","2020-6-304",0.735850807777743
"431","2020-6-303",0.479369261234496
"432","2020-6-307",0.866188889477098
"433","2020-6-302",0.857292160340572
"434","2020-6-305",0.807619337620447
"435","2020-6-507",0.558859693955346
"436","2020-6-504",0.495077340492231
"437","2020-6-506",0.540195347998283
"438","2020-6-505",0.396587274704333
"439","2020-6-511",0.596790594505906
"440","2020-6-510",0.783790951612497
"441","2020-6-501",0.344806866223536
"442","2020-6-509",0.718663518840167
"443","2020-6-502",0.613579802562366
"444","2020-6-503",0.595649768803407
"445","2020-6-508",0.83013120434303
"446","2020-6-402",0.767170333836351
"447","2020-6-407",0.414742984201745
"448","2020-6-408",0.383353547844443
"449","2020-6-401",0.889774445668583
"450","2020-6-406",0.740546484770609
"451","2020-6-409",0.325563269789336
"452","2020-6-405",0.786092477282497
"453","2020-6-404",0.82630197728941
"454","2020-6-403",0.657688264160415
"455","2020-6-410",0.854453760322878
"456","2020-6-706",0.856388744412578
"457","2020-6-701",0.584500978371051
"458","2020-6-705",0.525747112958703
"459","2020-6-702",0.785118259059706
"460","2020-6-703",0.897925009205693
"461","2020-6-704",0.920649326333999
"462","2020-6-603",0.796000086360451
"463","2020-6-610",0.87007850189976
"464","2020-6-608",0.793610502704884
"465","2020-6-602",0.759831211352054
"466","2020-6-611",0.870463961864167
"467","2020-6-607",-0.3
"468","2020-6-604",0.699120964949133
"469","2020-6-605",0.861840281485067
"470","2020-6-609",0.859384461503049
"471","2020-6-601",0.836707419365504
"472","2020-6-606",0.828463722303398
"473","2020-6-112",0.739129798610427
"474","2020-6-110",0.562241003098615
"475","2020-6-106",0.743572553789623
"476","2020-6-118",0.370838485031286
"477","2020-6-103",0.773521893570221
"478","2020-6-117",0.906786638725943
"479","2020-6-102",0.397206955026964
"480","2020-6-108",0.60285610816335
"481","2020-6-120",0.81705859369224
"482","2020-6-115",0.397811008104968
"483","2020-6-107",0.850485017413927
"484","2020-6-114",0.685426216737314
"485","2020-6-119",0.724586927140553
"486","2020-6-104",0.65063121074904
"487","2020-6-101",0.445588642619814
"488","2020-6-109",0.51063394909842
"489","2020-6-105",0.830708863282991
"490","2020-6-113",0.18134353501802
"491","2020-6-116",0.910504172087761
"492","2020-6-111",0.886469222983963
"493","2020-7-201",0.873221263342747
"494","2020-7-205",0.699671918510519
"495","2020-7-203",0.612477178778638
"496","2020-7-215",0.804849146058882
"497","2020-7-214",0.766954895586854
"498","2020-7-206",0.600325550295561
"499","2020-7-209",0.385944365701199
