"","week","province","group","value"
"646","2020-28",1,"employment",31.58
"647","2020-28",1,"mobility_finance",0
"648","2020-28",1,"water",0
"649","2020-28",2,"dengue_spread",0
"650","2020-28",2,"employment",0
"651","2020-28",2,"mobility_finance",0
"652","2020-28",2,"water",0
"653","2020-28",3,"dengue_spread",0
"654","2020-28",3,"employment",0
"655","2020-28",3,"mobility_finance",0
"656","2020-28",3,"water",0
"657","2020-28",4,"dengue_spread",0
"658","2020-28",4,"employment",34.19
"659","2020-28",4,"mobility_finance",0
"660","2020-28",4,"water",0
"661","2020-28",5,"dengue_spread",0
"662","2020-28",5,"employment",0
"663","2020-28",5,"mobility_finance",0
"664","2020-28",5,"water",0
"665","2020-28",6,"dengue_spread",0
"666","2020-28",6,"employment",0
"667","2020-28",6,"mobility_finance",0
"668","2020-28",6,"water",0
"669","2020-28",7,"dengue_spread",0
"670","2020-28",7,"employment",0
"671","2020-28",7,"mobility_finance",0
"672","2020-28",7,"water",0
"673","2020-29",0,"dengue_spread",6.67
"674","2020-29",0,"employment",29.62
"675","2020-29",0,"mobility_finance",5.57
"676","2020-29",0,"water",0
"677","2020-29",1,"dengue_spread",0
"678","2020-29",1,"employment",22.7
"679","2020-29",1,"mobility_finance",0
"680","2020-29",1,"water",0
"681","2020-29",2,"dengue_spread",0
"682","2020-29",2,"employment",0
"683","2020-29",2,"mobility_finance",0
"684","2020-29",2,"water",0
"685","2020-29",3,"dengue_spread",0
"686","2020-29",3,"employment",0
"687","2020-29",3,"mobility_finance",0
"688","2020-29",3,"water",0
"689","2020-29",4,"dengue_spread",0
"690","2020-29",4,"employment",32.77
"691","2020-29",4,"mobility_finance",0
"692","2020-29",4,"water",0
"693","2020-29",5,"dengue_spread",0
"694","2020-29",5,"employment",0
"695","2020-29",5,"mobility_finance",0
"696","2020-29",5,"water",0
"697","2020-29",6,"dengue_spread",0
"698","2020-29",6,"employment",0
"699","2020-29",6,"mobility_finance",0
"700","2020-29",6,"water",0
"701","2020-29",7,"dengue_spread",0
"702","2020-29",7,"employment",0
"703","2020-29",7,"mobility_finance",0
"704","2020-29",7,"water",0
"705","2020-3",0,"dengue_spread",3.73
"706","2020-3",0,"employment",55.71
"707","2020-3",0,"mobility_finance",0
"708","2020-3",0,"water",0
"709","2020-3",1,"dengue_spread",0
"710","2020-3",1,"employment",41.14
"711","2020-3",1,"mobility_finance",0
"712","2020-3",1,"water",0
"713","2020-3",2,"dengue_spread",0
"714","2020-3",2,"employment",58.82
"715","2020-3",2,"mobility_finance",0
"716","2020-3",2,"water",0
"717","2020-3",3,"dengue_spread",0
"718","2020-3",3,"employment",50.28
"719","2020-3",3,"mobility_finance",0
"720","2020-3",3,"water",0
"721","2020-3",4,"dengue_spread",0
"722","2020-3",4,"employment",26.36
"723","2020-3",4,"mobility_finance",0
"724","2020-3",4,"water",0
"725","2020-3",5,"dengue_spread",0
"726","2020-3",5,"employment",0
"727","2020-3",5,"mobility_finance",0
"728","2020-3",5,"water",0
"729","2020-3",6,"dengue_spread",0
"730","2020-3",6,"employment",0
"731","2020-3",6,"mobility_finance",0
"732","2020-3",6,"water",0
"733","2020-3",7,"dengue_spread",50.89
"734","2020-3",7,"employment",0
"735","2020-3",7,"mobility_finance",0
"736","2020-3",7,"water",0
"737","2020-30",0,"dengue_spread",5.16
"738","2020-30",0,"employment",34.45
"739","2020-30",0,"mobility_finance",6.19
"740","2020-30",0,"water",0
"741","2020-30",1,"dengue_spread",10.75
"742","2020-30",1,"employment",30.1
"743","2020-30",1,"mobility_finance",0
"744","2020-30",1,"water",0
"745","2020-30",2,"dengue_spread",0
"746","2020-30",2,"employment",37.23
"747","2020-30",2,"mobility_finance",0
"748","2020-30",2,"water",0
"749","2020-30",3,"dengue_spread",0
"750","2020-30",3,"employment",0
"751","2020-30",3,"mobility_finance",0
"752","2020-30",3,"water",0
"753","2020-30",4,"dengue_spread",0
"754","2020-30",4,"employment",33.48
"755","2020-30",4,"mobility_finance",0
"756","2020-30",4,"water",0
"757","2020-30",5,"dengue_spread",0
"758","2020-30",5,"employment",0
"759","2020-30",5,"mobility_finance",0
"760","2020-30",5,"water",0
"761","2020-30",6,"dengue_spread",0
"762","2020-30",6,"employment",0
"763","2020-30",6,"mobility_finance",0
"764","2020-30",6,"water",0
"765","2020-30",7,"dengue_spread",0
"766","2020-30",7,"employment",0
"767","2020-30",7,"mobility_finance",0
"768","2020-30",7,"water",0
