"","keyword","value","province","week"
"532","aedes_aegypti",0,2,"2024-12"
"533","aedes_aegypti",0,2,"2024-13"
"534","aedes_aegypti",0,2,"2024-14"
"535","aedes_aegypti",0,2,"2024-15"
"536","aedes_aegypti",0,2,"2024-16"
"537","aedes_aegypti",0,2,"2024-17"
"538","aedes_aegypti",0,2,"2024-18"
"539","aedes_aegypti",0,2,"2024-19"
"540","aedes_aegypti",0,2,"2024-20"
"541","aedes_aegypti",0,2,"2024-21"
"542","aedes_aegypti",0,2,"2024-22"
"543","aedes_aegypti",0,2,"2024-23"
"544","aedes_aegypti",0,2,"2024-24"
"545","aedes_aegypti",0,2,"2024-25"
"546","aedes_aegypti",0,2,"2024-26"
"547","aedes_aegypti",0,2,"2024-27"
"548","aedes_aegypti",0,2,"2024-28"
"549","aedes_aegypti",0,2,"2024-29"
"550","aedes_aegypti",0,2,"2024-30"
"551","aedes_aegypti",0,2,"2024-31"
"552","aedes_aegypti",0,2,"2024-32"
"553","aedes_aegypti",0,2,"2024-33"
"554","aedes_aegypti",0,2,"2024-34"
"555","aedes_aegypti",0,2,"2024-35"
"556","aedes_aegypti",0,2,"2024-36"
"557","aedes_aegypti",0,2,"2024-37"
"558","aedes_aegypti",0,2,"2024-38"
"559","aedes_aegypti",0,2,"2024-39"
"560","aedes_aegypti",0,2,"2024-40"
"561","aedes_aegypti",0,2,"2024-41"
"562","aedes_aegypti",0,2,"2024-42"
"563","aedes_aegypti",0,2,"2024-43"
"564","aedes_aegypti",0,2,"2024-44"
"565","aedes_aegypti",0,2,"2024-45"
"566","aedes_aegypti",0,2,"2024-46"
"567","aedes_aegypti",0,2,"2024-47"
"568","aedes_aegypti",0,2,"2024-48"
"569","aedes_aegypti",0,2,"2024-49"
"570","aedes_aegypti",0,2,"2024-50"
"571","aedes_aegypti",0,2,"2024-51"
"572","aedes_aegypti",0,2,"2024-52"
"573","aedes_aegypti",0,2,"2025-1"
"574","aedes_aegypti",0,2,"2025-2"
"575","aedes_aegypti",0,2,"2025-3"
"576","aedes_aegypti",0,2,"2025-4"
"577","aedes_aegypti",0,2,"2025-5"
"578","aedes_aegypti",0,2,"2025-6"
"579","aedes_aegypti",0,2,"2025-7"
"580","aedes_aegypti",0,2,"2025-8"
"581","aedes_aegypti",0,2,"2025-9"
"582","aedes_aegypti",0,2,"2025-10"
"583","aedes_aegypti",0,2,"2025-11"
"584","aedes_aegypti",0,2,"2025-12"
"585","aedes_aegypti",0,2,"2025-13"
"586","aedes_aegypti",0,2,"2025-14"
"587","aedes_aegypti",0,2,"2025-15"
"588","aedes_aegypti",0,2,"2025-16"
"589","aedes_aegypti",0,2,"2025-17"
"590","aedes_aegypti",0,2,"2025-18"
"591","aedes_aegypti",0,2,"2025-19"
"592","aedes_aegypti",0,2,"2025-20"
"593","aedes_aegypti",0,2,"2025-21"
"594","aedes_aegypti",0,2,"2025-22"
"595","aedes_aegypti",0,2,"2025-23"
"596","aedes_aegypti",0,2,"2025-24"
"597","aedes_aegypti",0,2,"2025-25"
"598","aedes_aegypti",0,2,"2025-26"
"599","aedes_aegypti",0,2,"2025-27"
"600","aedes_aegypti",0,2,"2025-28"
"601","aedes_aegypti",0,2,"2025-29"
"602","aedes_aegypti",0,2,"2025-30"
"603","aedes_aegypti",0,2,"2025-31"
"604","aedes_aegypti",0,2,"2025-32"
"605","aedes_aegypti",0,2,"2025-33"
